Id2,Geography,Percent of Population with Bachelor's Degree,Percent Science and Engineering Majors,Percent Science and Engineering Related Majors,Percent Business Majors,Percent Education Majors,"Percent Arts, Humanities and Other Majors"
01001,"Autauga County, Alabama",16.7,29.4,8.9,24.7,13.1,23.9
01003,"Baldwin County, Alabama",21.6,27.3,11.3,22.4,19,20
01005,"Barbour County, Alabama",8.5,22.9,8.9,17.8,31.6,18.8
01007,"Bibb County, Alabama",9.3,22.6,6.9,23.1,26.8,20.6
01009,"Blount County, Alabama",9.0,22.9,16.8,17.6,22.2,20.6
01011,"Bullock County, Alabama",9.4,13.1,11.2,25.1,18.3,32.3
01013,"Butler County, Alabama",11.2,20.9,13.9,25.1,22.8,17.2
01015,"Calhoun County, Alabama",12.2,23.5,10.5,18.1,23,24.9
01017,"Chambers County, Alabama",9.3,27.1,8.2,22.5,23.9,18.3
01019,"Cherokee County, Alabama",9.1,20.6,17.5,18.2,29.4,14.3
01021,"Chilton County, Alabama",10.2,20.8,10.3,25.9,22.5,20.6
01023,"Choctaw County, Alabama",8.3,23.6,12.4,14.6,26.8,22.5
01025,"Clarke County, Alabama",8.9,16.6,9,17.4,37.5,19.6
01027,"Clay County, Alabama",7.2,16.3,9.6,17.7,37.6,18.8
01029,"Cleburne County, Alabama",8.6,17.7,16.4,15,36.4,14.4
01031,"Coffee County, Alabama",15.4,23.6,8.5,21.5,22.3,24.1
01033,"Colbert County, Alabama",13.2,22.5,12.6,21.3,28.7,14.9
01035,"Conecuh County, Alabama",6.1,15,11.2,26,30.2,17.6
01037,"Coosa County, Alabama",8.1,25.9,9.5,19.7,26,18.8
01039,"Covington County, Alabama",10.9,28.3,12.3,20.6,25.4,13.4
01041,"Crenshaw County, Alabama",11.3,20.2,10.2,25.2,25.6,18.8
01043,"Cullman County, Alabama",10.4,26.9,15.6,17.9,22.3,17.3
01045,"Dale County, Alabama",11.3,31.6,8.2,22.1,16.9,21.2
